route_id,service_id,trip_id,trip_headsign
A,3,3_11554482,SOŁTYSOWICE
A,3,3_11554582,KOSZAROWA (Szpital)
A,3,3_11554692,KOSZAROWA (Szpital)
A,3,3_11554694,KOSZAROWA (Szpital)
A,3,3_11554696,KOSZAROWA (Szpital)
A,3,3_11554698,KOSZAROWA (Szpital)
A,3,3_11554700,KOSZAROWA (Szpital)
A,3,3_11554702,KOSZAROWA (Szpital)
A,3,3_11554704,KOSZAROWA (Szpital)
A,3,3_11554710,KOSZAROWA (Szpital)
A,3,3_11554712,KOSZAROWA (Szpital)
A,3,3_11554714,KOSZAROWA (Szpital)
A,3,3_11554716,KOSZAROWA (Szpital)
A,3,3_11554718,KOSZAROWA (Szpital)
A,3,3_11554720,KOSZAROWA (Szpital)
A,3,3_11554723,KOSZAROWA (Szpital)
A,3,3_11554725,KOSZAROWA (Szpital)
A,3,3_11554727,KOSZAROWA (Szpital)
A,3,3_11554729,KOSZAROWA (Szpital)
A,3,3_11554731,KOSZAROWA (Szpital)
A,3,3_11554733,KOSZAROWA (Szpital)
A,3,3_11554735,KOSZAROWA (Szpital)
A,3,3_11554738,KOSZAROWA (Szpital)
A,3,3_11554740,KOSZAROWA (Szpital)
A,3,3_11554742,KOSZAROWA (Szpital)
A,3,3_11554744,KOSZAROWA (Szpital)
A,3,3_11554746,KOSZAROWA (Szpital)
A,3,3_11554748,KOSZAROWA (Szpital)
A,3,3_11554750,KOSZAROWA (Szpital)
A,3,3_11554754,KOSZAROWA (Szpital)
A,3,3_11554756,KOSZAROWA (Szpital)
A,3,3_11554758,KOSZAROWA (Szpital)
A,3,3_11554760,KOSZAROWA (Szpital)
A,3,3_11554762,KOSZAROWA (Szpital)
A,3,3_11554764,KOSZAROWA (Szpital)
A,3,3_11554766,KOSZAROWA (Szpital)
A,3,3_11554752,Zajezdnia Obornicka
A,3,3_11554721,Zajezdnia Obornicka
A,3,3_11554736,Zajezdnia Obornicka
A,3,3_11554767,Zajezdnia Obornicka
A,3,3_11554480,KOSZAROWA (Szpital)
A,3,3_11554531,KOSZAROWA (Szpital)
A,3,3_11554580,KOSZAROWA (Szpital)
A,3,3_11554708,KOSZAROWA (Szpital)
A,3,3_11554532,KRZYKI
A,3,3_11554691,KRZYKI
A,3,3_11554722,KRZYKI
A,3,3_11554737,KRZYKI
A,3,3_11554753,KRZYKI
A,3,3_11554481,KRZYKI
A,3,3_11554581,KRZYKI
A,3,3_11554693,KRZYKI
A,3,3_11554695,KRZYKI
A,3,3_11554697,KRZYKI
A,3,3_11554699,KRZYKI
A,3,3_11554701,KRZYKI
A,3,3_11554703,KRZYKI
A,3,3_11554705,KRZYKI
A,3,3_11554709,KRZYKI
A,3,3_11554711,KRZYKI
A,3,3_11554713,KRZYKI
A,3,3_11554715,KRZYKI
A,3,3_11554717,KRZYKI
A,3,3_11554719,KRZYKI
A,3,3_11554724,KRZYKI
A,3,3_11554726,KRZYKI
A,3,3_11554728,KRZYKI
A,3,3_11554730,KRZYKI
A,3,3_11554732,KRZYKI
A,3,3_11554734,KRZYKI
A,3,3_11554739,KRZYKI
A,3,3_11554741,KRZYKI
A,3,3_11554743,KRZYKI
A,3,3_11554745,KRZYKI
A,3,3_11554747,KRZYKI
A,3,3_11554749,KRZYKI
A,3,3_11554751,KRZYKI
A,3,3_11554755,KRZYKI
A,3,3_11554757,KRZYKI
A,3,3_11554759,KRZYKI
A,3,3_11554761,KRZYKI
A,3,3_11554763,KRZYKI
A,3,3_11554765,KRZYKI
A,4,4_11557436,SOŁTYSOWICE
A,4,4_11557523,KOSZAROWA (Szpital)
A,4,4_11557638,KOSZAROWA (Szpital)
A,4,4_11557640,KOSZAROWA (Szpital)
A,4,4_11557642,KOSZAROWA (Szpital)
A,4,4_11557644,KOSZAROWA (Szpital)
A,4,4_11557646,KOSZAROWA (Szpital)
A,4,4_11557648,KOSZAROWA (Szpital)
A,4,4_11557650,KOSZAROWA (Szpital)
A,4,4_11557656,KOSZAROWA (Szpital)
A,4,4_11557658,KOSZAROWA (Szpital)
A,4,4_11557660,KOSZAROWA (Szpital)
A,4,4_11557662,KOSZAROWA (Szpital)
A,4,4_11557664,KOSZAROWA (Szpital)
A,4,4_11557666,KOSZAROWA (Szpital)
A,4,4_11557669,KOSZAROWA (Szpital)
A,4,4_11557671,KOSZAROWA (Szpital)
A,4,4_11557673,KOSZAROWA (Szpital)
A,4,4_11557675,KOSZAROWA (Szpital)
A,4,4_11557677,KOSZAROWA (Szpital)
A,4,4_11557679,KOSZAROWA (Szpital)
A,4,4_11557681,KOSZAROWA (Szpital)
A,4,4_11557684,KOSZAROWA (Szpital)
A,4,4_11557686,KOSZAROWA (Szpital)
A,4,4_11557688,KOSZAROWA (Szpital)
A,4,4_11557690,KOSZAROWA (Szpital)
A,4,4_11557692,KOSZAROWA (Szpital)
A,4,4_11557694,KOSZAROWA (Szpital)
A,4,4_11557696,KOSZAROWA (Szpital)
A,4,4_11557700,KOSZAROWA (Szpital)
A,4,4_11557702,KOSZAROWA (Szpital)
A,4,4_11557704,KOSZAROWA (Szpital)
A,4,4_11557706,KOSZAROWA (Szpital)
A,4,4_11557708,KOSZAROWA (Szpital)
A,4,4_11557710,KOSZAROWA (Szpital)
A,4,4_11557712,KOSZAROWA (Szpital)
A,4,4_11557698,Zajezdnia Obornicka
A,4,4_11557667,Zajezdnia Obornicka
A,4,4_11557682,Zajezdnia Obornicka
A,4,4_11557713,Zajezdnia Obornicka
A,4,4_11557434,KOSZAROWA (Szpital)
A,4,4_11557482,KOSZAROWA (Szpital)
A,4,4_11557521,KOSZAROWA (Szpital)
A,4,4_11557654,KOSZAROWA (Szpital)
A,4,4_11557483,KRZYKI
A,4,4_11557637,KRZYKI
A,4,4_11557668,KRZYKI
A,4,4_11557683,KRZYKI
A,4,4_11557699,KRZYKI
A,4,4_11557435,KRZYKI
A,4,4_11557522,KRZYKI
A,4,4_11557639,KRZYKI
A,4,4_11557641,KRZYKI
A,4,4_11557643,KRZYKI
A,4,4_11557645,KRZYKI
A,4,4_11557647,KRZYKI
A,4,4_11557649,KRZYKI
A,4,4_11557651,KRZYKI
A,4,4_11557655,KRZYKI
A,4,4_11557657,KRZYKI
A,4,4_11557659,KRZYKI
A,4,4_11557661,KRZYKI
A,4,4_11557663,KRZYKI
A,4,4_11557665,KRZYKI
A,4,4_11557670,KRZYKI
A,4,4_11557672,KRZYKI
A,4,4_11557674,KRZYKI
A,4,4_11557676,KRZYKI
A,4,4_11557678,KRZYKI
A,4,4_11557680,KRZYKI
A,4,4_11557685,KRZYKI
A,4,4_11557687,KRZYKI
A,4,4_11557689,KRZYKI
A,4,4_11557691,KRZYKI
A,4,4_11557693,KRZYKI
A,4,4_11557695,KRZYKI
A,4,4_11557697,KRZYKI
A,4,4_11557701,KRZYKI
A,4,4_11557703,KRZYKI
A,4,4_11557705,KRZYKI
A,4,4_11557707,KRZYKI
A,4,4_11557709,KRZYKI
A,4,4_11557711,KRZYKI
A,6,6_11543726,SOŁTYSOWICE
A,6,6_11542645,KOSZAROWA (Szpital)
A,6,6_11541988,KOSZAROWA (Szpital)
A,6,6_11542647,KOSZAROWA (Szpital)
A,6,6_11543813,KOSZAROWA (Szpital)
A,6,6_11543994,KOSZAROWA (Szpital)
A,6,6_11543996,KOSZAROWA (Szpital)
A,6,6_11543998,KOSZAROWA (Szpital)
A,6,6_11544000,KOSZAROWA (Szpital)
A,6,6_11544002,KOSZAROWA (Szpital)
A,6,6_11544004,KOSZAROWA (Szpital)
A,6,6_11544007,KOSZAROWA (Szpital)
A,6,6_11544009,KOSZAROWA (Szpital)
A,6,6_11544011,KOSZAROWA (Szpital)
A,6,6_11544013,KOSZAROWA (Szpital)
A,6,6_11544015,KOSZAROWA (Szpital)
A,6,6_11544017,KOSZAROWA (Szpital)
A,6,6_11544019,KOSZAROWA (Szpital)
A,6,6_11544022,KOSZAROWA (Szpital)
A,6,6_11544024,KOSZAROWA (Szpital)
A,6,6_11544026,KOSZAROWA (Szpital)
A,6,6_11544028,KOSZAROWA (Szpital)
A,6,6_11544030,KOSZAROWA (Szpital)
A,6,6_11544032,KOSZAROWA (Szpital)
A,6,6_11544036,KOSZAROWA (Szpital)
A,6,6_11544038,KOSZAROWA (Szpital)
A,6,6_11544040,KOSZAROWA (Szpital)
A,6,6_11544042,KOSZAROWA (Szpital)
A,6,6_11544046,KOSZAROWA (Szpital)
A,6,6_11544048,KOSZAROWA (Szpital)
A,6,6_11544050,KOSZAROWA (Szpital)
A,6,6_11544052,KOSZAROWA (Szpital)
A,6,6_11544054,KOSZAROWA (Szpital)
